Type,Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Total,
Total,2019-20,11767342,13228315,12042885,12537394,11944242,10400359,10187994,12242377,9354633,1901700,4465573,,110072816,
Total,2018-19,11213154,12979597,11511559,12406020,12176954,9986437,10081138,11967750,13201548,11450802,13509992,10969471,141454423,
Total,2017-18,10577168,12898667,11431138,12068032,12076076,10024267,9973959,11844206,13361771,11144956,13233422,11213487,139847149,
Total,2016-17,10697514,12879279,11869497,11894350,12269909,10312972,9402117,11739089,13872657,10680079,13438111,11801132,140856706,
Total,2015-16,11863998,12912105,12695406,12794594,12400497,10673762,9740079,12607306,13268941,11836698,13053011,11786280,145632675,
Total,2014-15,11941596,13138670,12681023,13238982,12355562,10881102,9995702,13350914,14196225,11588056,13227287,12187683,148761802,
Total,2013-14,11565606,13252626,12347176,13090377,12575140,10732186,10246482,12430888,13924190,11990107,13639436,11831904,147640687,
Total,2012-13,12077042,13799030,12476960,12885555,12839571,10441497,10597532,12401783,13744990,12574688,13936583,11922072,149697303,
Total,2011-12,10656490,13071346,12247752,11870999,12185406,10192125,9701495,12565685,14207978,11457423,14152754,11820634,144130087,
Total,2010-11,10595646,12126802,11481920,11399676,11335606,10100341,8981339,11189165,13680494,11183573,12526660,11374245,135975469,
Total,2009-10,10672585,11487000,11087466,11468138,10839590,9693754,8755125,10996102,12911215,10725920,11950832,11041617,131629344,
Total,2008-09,10313786,11293036,10858497,11636899,10605604,9608082,8854183,10898203,12323578,10287472,11751050,10353324,128783714,
Total,2007-08,7854994,9276942,8404785,8457241,8830829,7279784,8218319,9860214,10116982,9889630,11008939,9595044,108793703,
Total,2006-07,7872247,9109873,8557853,8594273,8823219,7352060,7193224,8412623,9459802,7792800,9584420,8173411,100925805,
Total,2005-06,7706788,8815507,8296463,8510240,8331811,7049163,6803571,8209649,9559491,7520975,9398280,8324444,98526382,
Total,2004-05,7550457,8355796,8184459,7957452,8120351,7138054,6550924,8042058,8617206,7994758,8770115,7704079,94985709,
Total,2003-04,7325523,7749419,7637533,8301552,7375092,6855155,6360296,7471035,8706977,7124731,8121459,7549349,90578121,
Bus,2019-20,6477602,7536309,6953190,6950803,6777898,5623601,5349787,6993622,5572203,1175684,2873949,,62284650,
Bus,2018-19,6152972,7486956,6414848,7025643,6859600,5273436,5229277,6809860,7579021,6464220,7739367,6231698,79266899,
Bus,2017-18,5842288,7476496,6503452,6870757,6883505,5378935,5167703,6715783,7519858,6156303,7614571,6411789,78541440,
Bus,2016-17,6012057,7459419,6704504,6806105,7034550,5637909,5087950,6765281,8015116,5944258,7767601,6781978,80016728,
Bus,2015-16,6614949,7440340,7196457,7176795,7115969,5945996,5220988,7176787,7651655,6518652,7552273,6779784,82390945,
Bus,2014-15,6650834,7616395,7293123,7436263,7065425,6040000,5438329,7287637,8198991,6494264,7619234,7021095,84142590,
Bus,2013-14,6698993,7818035,7050606,7327684,7188827,5919587,5479317,7098790,7931102,6668491,7759295,6763775,83714090,
Bus,2012-13,6616901,7986990,7039032,7166691,7199000,5676436,5616088,7074499,7698592,7006466,7782262,6680467,83543424,
Bus,2011-12,5834668,7433230,7001795,6361832,6884698,5538309,5220890,7214444,8090277,6271406,8093450,6671480,80626481,
Bus,2010-11,5860309,7009011,6467304,6450637,6497104,5454521,4846185,6393422,7782385,6258053,7155388,6462031,76636351,
Bus,2009-10,6007837,6602626,6347534,6466688,6229995,5428407,4790503,6339575,7443870,5952555,6861764,6285124,74756477,
Bus,2008-09,5824919,6588569,6314801,6531963,6103305,5340267,4747599,6336083,7151591,5730117,6823724,6057243,73550181,
Bus,2007-08,5073148,6147999,5508156,5573932,5694365,4359228,4401088,5653308,5778787,5581894,6386919,5535131,65693955,
Bus,2006-07,4983849,6054905,5589971,5368722,5651421,4471851,4446881,5502789,6163045,4853162,6257240,5278779,64622615,
Bus,2005-06,4906477,5827576,5294297,5452265,5503100,4457124,4264282,5413477,6333420,4755671,6224497,5459175,63891362,
Bus,2004-05,4915129,5551201,5457963,5029892,5349510,4516206,4095686,5235605,5695451,5128713,5784940,5112929,61873225,
Bus,2003-04,4633595,5089633,4953915,5234983,4823058,4345148,4000344,5030707,5860604,4675564,5371592,4978939,58998082,
Ferry,2019-20,51231,36994,46279,61233,62976,79048,84657,55191,38204,7497,14639,,537949,
Ferry,2018-19,45201,37148,49989,52577,55445,79490,73807,52864,57977,65593,45471,32452,648014,
Ferry,2017-18,44059,36811,47051,64484,59529,84026,79770,59667,67571,69862,45165,47662,705657,
Ferry,2016-17,51072,35724,50600,64175,64284,86253,85271,56608,70450,84544,48316,50584,747881,
Ferry,2015-16,26454,23358,26407,34508,34210,39865,48368,98151,80225,94036,49551,41791,596924,
Ferry,2014-15,29597,26397,25334,35714,33156,39747,35212,51368,32461,33602,27588,24141,394317,
Ferry,2013-14,33081,30164,28297,41643,40238,47913,43174,38121,38436,41513,26348,25987,434914,
Ferry,2012-13,38589,32853,34204,43372,37459,44223,45271,37353,42171,43760,33687,31600,464542,
Ferry,2011-12,35205,35745,35302,48990,40641,45745,42997,38997,42595,46702,33277,28473,473728,
Ferry,2010-11,34166,35303,39756,44681,40163,49983,42005,35992,40912,42400,35960,30017,471338,
Ferry,2009-10,40500,32943,32469,47592,40159,45609,38042,36702,42397,44512,32937,30263,464125,
Ferry,2008-09,34231,35668,33823,43539,38074,46296,49726,39219,45471,50134,40132,27450,483763,
Ferry,2007-08,31123,33798,36009,43326,44366,42445,45965,36332,42300,42880,35226,29903,463673,
Ferry,2006-07,45208,34753,41101,51096,53503,59044,56737,39847,44489,49609,35758,34212,545357,
Ferry,2005-06,43440,30557,33967,44516,42374,55751,52957,38670,42090,54817,35884,27404,502427,
Ferry,2004-05,42884,32601,34346,41528,34805,43673,50213,35343,38236,50376,31594,24768,460367,
Ferry,2003-04,47032,30233,32090,48013,36475,45097,52118,35372,39982,45522,28982,24148,465064,
Train_Total,2019-20,5238509,5655012,5043416,5525358,5103368,4697710,4753550,5193564,3744226,718519,1576985,,47250217,
Train_Total,2018-19,5014981,5455493,5046722,5327800,5261909,4633511,4778054,5105026,5564550,4920989,5725154,4705321,61539510,
Train_Total,2017-18,4690821,5385360,4880635,5132791,5133042,4561306,4726486,5068756,5774342,4918791,5573686,4754036,60600052,
Train_Total,2016-17,4634385,5384136,5114393,5024070,5171075,4588810,4228896,4917200,5787091,4651277,5622194,4968570,60092097,
Train_Total,2015-16,5222595,5448407,5472542,5583291,5250318,4687901,4470723,5332368,5537061,5224008,5450887,4964705,62644806,
Train_Total,2014-15,5261165,5495878,5362566,5766005,5256981,4801355,4521161,6011909,5964773,5060190,5580465,5142447,64224895,
Train_Total,2013-14,4833532,5404427,5268273,5721050,5346075,4765306,4723989,5293977,5954633,5280103,5853793,5042142,63491683,
Train_Total,2012-13,5421552,5779187,5403724,5675492,5603112,4720838,4936173,5289931,6004227,5524462,6120634,5210005,65689337,
Train_Total,2011-12,4786617,5592371,5210655,5460177,5260067,4608071,4437608,5313186,6075106,5139314,6026027,5120681,63029878,
Train_Total,2010-11,4701171,5082488,4974860,4904358,4798340,4595837,4093149,4759751,5852197,4883119,5335312,4882197,58867780,
Train_Total,2009-10,4624248,4851430,4707462,4953858,4569436,4219738,3926581,4619824,5424949,4728854,5056131,4726229,56408742,
Train_Total,2008-09,4454636,4668799,4509873,5061397,4464225,4221519,4056858,4522901,5126516,4507221,4887194,4268631,54749770,
Train_Total,2007-08,2750723,3095145,2860620,2839983,3092098,2878111,3771266,4170574,4295895,4264856,4586794,4030010,42636075,
Train_Total,2006-07,2843190,3020215,2926781,3174455,3118295,2821165,2689606,2869987,3252268,2890029,3291422,2860420,35757833,
Train_Total,2005-06,2756871,2957374,2968199,3013459,2786336,2536288,2486332,2757502,3183981,2710487,3137899,2837865,34132593,
Train_Total,2004-05,2592444,2771994,2692150,2886032,2736036,2578175,2405025,2771110,2883519,2815669,2953581,2566382,32652117,
Train_Total,2003-04,2644896,2629553,2651528,3018556,2515559,2464910,2307834,2404956,2806391,2403645,2720885,2546262,31114975,
Armadale,2019-20,687342,719250,682335,734091,680526,616449,600039,659953,517973,137327,253309,,6288594,
Armadale,2018-19,651241,710155,668643,721509,706227,604933,590723,629396,712357,635042,741808,611345,7983379,
Armadale,2017-18,608244,694894,648525,672237,676480,591382,570917,635273,699412,606015,711121,621072,7735572,
Armadale,2016-17,489106,707439,662583,657954,672262,612544,382008,598315,703614,560834,716425,622804,7385888,
Armadale,2015-16,737968,776965,752418,803683,751502,671486,619787,682408,675237,680640,696320,659876,8508290,
Armadale,2014-15,770018,800126,780218,829165,731116,711377,597593,793967,834853,700366,776402,741596,9066797,
Armadale,2013-14,739144,781308,769212,835968,762523,685137,670661,764372,845674,742161,838326,741948,9176434,
Armadale,2012-13,807950,854092,818345,871319,842252,715516,711517,779608,848021,780106,871267,767994,9667987,
Armadale,2011-12,713325,829221,799723,772404,794958,685680,620654,776862,854701,724923,890100,765263,9227813,
Armadale,2010-11,726355,778208,758761,748012,750111,669590,585840,715542,859082,715413,790609,740526,8838049,
Fremantle,2019-20,594743,647102,659942,733983,626786,576679,610371,665024,460742,89644,204964,,5869980,
Fremantle,2018-19,567992,644180,712171,653517,650619,571062,588369,649648,672239,593488,647583,525936,7476804,
Fremantle,2017-18,587994,678365,716302,667487,680876,610498,598774,637721,719118,606757,655021,535524,7694437,
Fremantle,2016-17,597684,674836,760908,670429,699893,628603,585112,659604,748771,607760,681851,625402,7940853,
Fremantle,2015-16,662436,681050,743837,761779,709533,655321,610079,723950,731735,660395,677336,627148,8244599,
Fremantle,2014-15,677624,658085,746095,779825,612385,662672,616735,732271,761270,660114,693893,627286,8228255,
Fremantle,2013-14,546258,614782,723984,799913,735393,670318,657864,734026,768054,682319,714283,637523,8284716,
Fremantle,2012-13,719339,740938,752979,866989,763959,675678,679123,740007,754321,724387,764300,684190,8866211,
Fremantle,2011-12,632908,734188,714613,823583,744809,664478,633049,753433,802567,703161,774243,698107,8679139,
Fremantle,2010-11,631814,673908,761954,713045,679095,661445,596472,691625,807065,660184,677678,643940,8198224,
Joondalup,2019-20,1396593,1486377,1365620,1492695,1377545,1249524,1296273,1377271,1038141,184182,422755,,12686976,
Joondalup,2018-19,1324557,1461035,1324856,1463744,1438107,1257974,1279692,1374352,1522071,1323542,1514276,1247582,16531788,
Joondalup,2017-18,1307672,1486207,1346815,1423206,1410566,1273838,1267304,1371951,1511463,1299603,1479928,1298834,16477387,
Joondalup,2016-17,1304902,1466542,1379840,1386247,1424156,1309962,1225480,1347619,1625291,1274763,1530658,1383099,16658559,
Joondalup,2015-16,1443306,1448014,1408496,1503853,1371613,1288234,1233727,1461775,1519805,1433412,1462799,1341995,16917029,
Joondalup,2014-15,1412270,1458806,1420621,1535322,1355429,1335910,1234660,1514085,1615792,1356368,1493803,1372731,17105797,
Joondalup,2013-14,1293192,1429009,1371871,1520809,1424519,1290935,1291523,1417972,1577041,1388200,1555046,1337244,16897361,
Joondalup,2012-13,1436385,1561781,1427300,1450132,1499519,1299514,1333046,1430310,1556977,1465125,1621935,1367867,17449891,
Joondalup,2011-12,1254242,1473814,1378899,1342868,1378558,1266101,1230575,1430825,1615517,1350340,1613361,1365132,16700234,
Joondalup,2010-11,1256037,1316943,1300785,1290498,1299863,1234240,1138324,1239146,1520599,1270905,1439388,1305110,15611836,
Mandurah,2019-20,1753184,1902697,1771571,1909077,1752157,1572129,1583805,1752417,1316584,216851,510711,,16041183,
Mandurah,2018-19,1649353,1860938,1688413,1846604,1785831,1547916,1570284,1751463,1942795,1705033,1958947,1593242,20900819,
Mandurah,2017-18,1594206,1844968,1686952,1803792,1727058,1542494,1543446,1693158,1925777,1639354,1881344,1663167,20545716,
Mandurah,2016-17,1567035,1815859,1692156,1708693,1716642,1517616,1465399,1633722,2022860,1562494,1923243,1718109,20343828,
Mandurah,2015-16,1722011,1783306,1713157,1825665,1665624,1501414,1460117,1776368,1898132,1776849,1817457,1655301,20595401,
Mandurah,2014-15,1712266,1802104,1730446,1885987,1592469,1535886,1469184,1790522,1994133,1649067,1835544,1702292,20699900,
Mandurah,2013-14,1602843,1796904,1714853,1886734,1705582,1509630,1512738,1686822,1973252,1711053,1923526,1639753,20663690,
Mandurah,2012-13,1758236,1919915,1735926,1857267,1753941,1473715,1557920,1682442,1929929,1817148,2007021,1656948,21150408,
Mandurah,2011-12,1537488,1811268,1670378,1675617,1670918,1486356,1461295,1704126,2008081,1665960,1956596,1645141,20293223,
Mandurah,2010-11,1458534,1579458,1525457,1544672,1500929,1381100,1302463,1489657,1881720,1539232,1764066,1552575,18519864,
Midland,2019-20,513993,540840,515940,565626,513124,449836,467495,519153,387626,89281,183497,,4746411,
Midland,2018-19,476785,531658,499064,534865,523628,435819,455737,504478,538035,471401,557582,465318,5994370,
Midland,2017-18,451760,531110,443158,498747,495309,422111,448151,503401,528656,459059,536868,465816,5784146,
Midland,2016-17,509674,554485,543712,524938,519134,465019,442138,501181,579736,444880,547961,511128,6143986,
Midland,2015-16,555137,558415,560212,564570,553198,489874,452265,552236,554531,520764,551246,524659,6437107,
Midland,2014-15,564001,577387,567827,609019,508083,508767,481017,603733,609788,509022,571573,551217,6661434,
Midland,2013-14,511511,571040,557958,602388,567579,500461,504966,567772,594258,544125,605707,518447,6646213,
Midland,2012-13,569350,594485,567995,577966,584996,489883,498774,553214,580907,556944,603610,510719,6688843,
Midland,2011-12,504215,589891,565251,572282,561870,480568,468889,569689,607792,526452,630157,549390,6626464,
Midland,2010-11,521037,549055,550889,536066,533622,464876,445046,509233,610640,507736,565611,525977,6319788,
