Train_Line,LGA,Category,2011,2012,2013,2014,2015,2016,2017,2018
Armadale,Armadale,Total_Pop,,,72662,75559,78848,82021,84669,87634
Armadale,Armadale,Working_Pop,,,49409,51096,52979,54628,56016,57532
Armadale,Armadale,Nr_Businesses,,,,3962,4133,4342,4578,4756
Armadale,Armadale,Nr_Cars,,,25908,26979,27322,26936,26559,26295
Armadale,Armadale,Unemployed,1706,,,,,3655,,
Armadale,Armadale,Working_force,31452,,,,,39941,,
Armadale,Armadale,Work_Train,1015,,,,,1090,,
Armadale,Armadale,Work_Bus,373,,,,,542,,
Armadale,Armadale,Work_Car,19229,,,,,24886,,
Armadale,Armadale,Work_Home,923,,,,,1133,,
Armadale,Gosnells,Total_Pop,,,119381,120756,121720,122011,122847,123325
Armadale,Gosnells,Working_Pop,,,82051,82633,82880,82563,82235,82079
Armadale,Gosnells,Nr_Businesses,,,,6584,6688,6961,7277,7538
Armadale,Gosnells,Nr_Cars,,,71044,74193,75315,76259,76103,76151
Armadale,Gosnells,Unemployed,2945,,,,,5714,,
Armadale,Gosnells,Working_force,54018,,,,,58644,,
Armadale,Gosnells,Work_Train,1606,,,,,1526,,
Armadale,Gosnells,Work_Bus,983,,,,,1145,,
Armadale,Gosnells,Work_Car,33162,,,,,36006,,
Armadale,Gosnells,Work_Home,1202,,,,,1393,,
Armadale,Canning,Total_Pop,,,93491,93843,93959,93733,93164,92965
Armadale,Canning,Working_Pop,,,66598,66415,66074,65273,64068,63339
Armadale,Canning,Nr_Businesses,,,,8371,8410,8634,8864,9185
Armadale,Canning,Nr_Cars,,,59213,61609,61978,62345,62071,64143
Armadale,Canning,Unemployed,2511,,,,,4777,,
Armadale,Canning,Working_force,45544,,,,,46911,,
Armadale,Canning,Work_Train,1158,,,,,1208,,
Armadale,Canning,Work_Bus,1560,,,,,1490,,
Armadale,Canning,Work_Car,26659,,,,,27459,,
Armadale,Canning,Work_Home,1220,,,,,1283,,
Armadale,Victoria_Park,Total_Pop,,,36260,36570,36714,36647,36503,36601
Armadale,Victoria_Park,Working_Pop,,,26928,27033,26963,26807,26628,26616
Armadale,Victoria_Park,Nr_Businesses,,,,3669,3747,3873,3898,3840
Armadale,Victoria_Park,Nr_Cars,,,22581,22743,22712,22875,21909,20032
Armadale,Victoria_Park,Unemployed,962,,,,,1655,,
Armadale,Victoria_Park,Working_force,17731,,,,,19144,,
Armadale,Victoria_Park,Work_Train,697,,,,,674,,
Armadale,Victoria_Park,Work_Bus,1805,,,,,1747,,
Armadale,Victoria_Park,Work_Car,9089,,,,,10038,,
Armadale,Victoria_Park,Work_Home,412,,,,,572,,
Joondalup,Stirling,Total_Pop,,,218043,219372,220152,220073,219842,220249
Joondalup,Stirling,Working_Pop,,,150656,150940,150999,149893,148689,147378
Joondalup,Stirling,Nr_Businesses,,,,20430,20938,21361,21866,22282
Joondalup,Stirling,Nr_Cars,,,138698,142092,143625,144467,145185,144220
Joondalup,Stirling,Unemployed,4615,,,,,8126,,
Joondalup,Stirling,Working_force,103341,,,,,111554,,
Joondalup,Stirling,Work_Train,1908,,,,,2000,,
Joondalup,Stirling,Work_Bus,4732,,,,,5136,,
Joondalup,Stirling,Work_Car,61916,,,,,67688,,
Joondalup,Stirling,Work_Home,3300,,,,,3888,,
Joondalup,Joondalup,Total_Pop,,,81715,81499,81135,80288,79771,79572
Joondalup,Joondalup,Working_Pop,,,113353,111998,110156,107885,106215,104699
Joondalup,Joondalup,Nr_Businesses,,,,13144,13084,13121,13178,13047
Joondalup,Joondalup,Nr_Cars,,,99738,102244,102734,102530,101610,101269
Joondalup,Joondalup,Unemployed,3338,,,,,5813,,
Joondalup,Joondalup,Working_force,86364,,,,,84791,,
Joondalup,Joondalup,Work_Train,3825,,,,,3533,,
Joondalup,Joondalup,Work_Bus,848,,,,,1010,,
Joondalup,Joondalup,Work_Car,51346,,,,,51077,,
Joondalup,Joondalup,Work_Home,3120,,,,,3580,,
