Month,Average Price,Fuel %,Armadale,Armadale %,Mandurah,Mandurah %,Joondalup,Joondalup %,Total,%
Jul-10,126.2,,726355,,1458534,,1256037,,10595646,
Aug-10,124.5,-0.013470681,778208,0.071387958,1579458,0.082907906,1316943,0.04849061,12126802,0.144508037
Sep-10,122.1,-0.019277108,758761,-0.024989463,1525457,-0.034189576,1300785,-0.012269324,11481920,-0.053178241
Oct-10,121.4,-0.005733006,748012,-0.014166516,1544672,0.012596225,1290498,-0.007908302,11399676,-0.007162914
Nov-10,120.9,-0.004118616,750111,0.002806105,1500929,-0.028318633,1299863,0.007256888,11335606,-0.005620335
Dec-10,127.8,0.05707196,669590,-0.107345446,1381100,-0.079836555,1234240,-0.050484551,10100341,-0.108972118
Jan-11,132.1,0.033646322,585840,-0.125076539,1302463,-0.056937948,1138324,-0.0777126,8981339,-0.110788537
Feb-11,134.8,0.020439061,715542,0.22139492,1489657,0.143723085,1239146,0.088570565,11189165,0.245823702
Mar-11,142.1,0.054154303,859082,0.200603179,1881720,0.263190117,1520599,0.227134656,13680494,0.222655489
Apr-11,143.9,0.012667136,715413,-0.167235491,1539232,-0.18200795,1270905,-0.164207658,11183573,-0.182516874
May-11,143.4,-0.003474635,790609,0.105108518,1764066,0.146068949,1439388,0.132569311,12526660,0.120094624
Jun-11,138.8,-0.032078103,740526,-0.063347369,1552575,-0.119888372,1305110,-0.093288259,11374245,-0.091996989
Jul-11,139.8,0.007204611,713325,-0.036731999,1537488,-0.009717405,1254242,-0.038976025,10656490,-0.063103529
Aug-11,139.8,0,829221,0.162472926,1811268,0.178069682,1473814,0.175063504,13071346,0.226608949
Sep-11,143.5,0.026466381,799723,-0.035573146,1670378,-0.077785286,1378899,-0.064400935,12247752,-0.063007589
Oct-11,145.6,0.014634146,772404,-0.034160578,1675617,0.003136416,1342868,-0.026130268,11870999,-0.030760992
Nov-11,140.5,-0.035027473,794958,0.029199745,1670918,-0.00280434,1378558,0.026577445,12185406,0.026485303
Dec-11,139,-0.010676157,685680,-0.137463866,1486356,-0.11045545,1266101,-0.081575821,10192125,-0.163579367
Jan-12,141.3,0.016546763,620654,-0.094834325,1461295,-0.016860698,1230575,-0.028059373,9701495,-0.048138146
Feb-12,142.8,0.010615711,776862,0.251682902,1704126,0.166175208,1430825,0.162728806,12565685,0.295231817
Mar-12,148.3,0.038515406,854701,0.100196689,2008081,0.178364159,1615517,0.129080775,14207978,0.130696655
Apr-12,151.2,0.019554956,724923,-0.151840234,1665960,-0.170372111,1350340,-0.164143739,11457423,-0.19359229
May-12,147.6,-0.023809524,890100,0.227854545,1956596,0.174455569,1613361,0.194781314,14152754,0.235247577
Jun-12,139.3,-0.056233062,765263,-0.140250534,1645141,-0.159182069,1365132,-0.153858312,11820634,-0.164782063
Jul-12,133.5,-0.041636755,807950,0.055780823,1758236,0.068744867,1436385,0.052194953,12077042,0.021691561
Aug-12,142.4,0.066666667,854092,0.05710997,1919915,0.091955232,1561781,0.087299714,13799030,0.14258359
Sep-12,145,0.018258427,818345,-0.041853805,1735926,-0.095831847,1427300,-0.086107463,12476960,-0.095808908
