Line,LGA,Code
Armadale,Armadale,50601
Armadale,Gosnells,53780
Armadale,Canning,51330
Armadale,Victoria Park,58510
Fremantle,Fremantle,53430
Fremantle,Mosman Park,55740
Fremantle,Cottesloe,52170
Fremantle,Peppermint Grove,56930
Fremantle,Claremont,51750
Fremantle,Nedlands,56580
Fremantle,Subiaco,57980
Mandurah,South Perth,57840
Mandurah,Melville,55320
Mandurah,Cockburn,51820
Mandurah,Kwinana,54830
Mandurah,Rockingham,57490
Mandurah,Mandurah,55110
Joondalup,Vincent,58570
Joondalup,Stirling,57910
Joondalup,Joondalup,54170
Midland,Bayswater,50420
Midland,Bassendean,50350
Midland,Swan,58050
