Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Courier Code,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students
5001,ADAM ROAD PRIMARY SCHOOL,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.357951,115.635371,POST,08 9796 3000,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,59,71,64,48,55,58,46,73,,,,,,,,,474
1397,AL-HIDAYAH ISLAMIC SCHOOL,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,-32.01035814,115.9115641,POST,08 9351 8593,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y06,,31,32,33,33,35,26,22,,,,,,,,,212
8001,ALBANY COMMUNITY KINDERGARTEN,136 SERPENTINE ROAD,ALBANY,WA,6330,PO BOX 5670,ALBANY,WA,6332,-35.02145966,117.88098687,POST,08 9841 1864,SOUTH WEST,Community Kindergartens,COMMUNITY KINDERGARTENS,KIN,KIN,40,,,,,,,,,,,,,,,,40
5002,ALBANY PRIMARY SCHOOL,SUFFOLK STREET,ALBANY,WA,6330,SUFFOLK STREET,ALBANY,WA,6330,-35.01821151,117.8916106,POST,08 9842 7400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,50,64,56,57,62,64,57,,,,,,,,,430
6151,ALBANY SECONDARY EDUCATION SUPPORT CENTRE,65 ANSON ROAD,ALBANY,WA,6330,65 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,POST,08 9841 4900,SOUTH WEST,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,,4,11,7,8,13,7,,50
4001,ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,POST,08 9841 0444,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,184,200,166,154,168,133,,1005
5693,ALINJARRA PRIMARY SCHOOL,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,-31.82962571,115.87014015,POST,08 9462 9950,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,36,48,43,35,48,53,52,41,,,,,,,,,356
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.71017847,POST,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,20,19,23,11,20,16,16,32,,27,28,26,30,19,14,,301
5848,ALKIMOS BEACH PRIMARY SCHOOL,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,-31.626524,115.680669,POST,08 9561 7200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,116,104,107,83,89,73,58,48,,,,,,,,,678
4211,ALKIMOS COLLEGE,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,-31.629987,115.694233,UNKNOWN,08 9561 7300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y07,,,,,,,,,,176,,,,,,,176
5844,ALKIMOS PRIMARY SCHOOL,340 BENENDEN AVENUE,ALKIMOS,WA,6038,340 BENENDEN AVENUE,ALKIMOS,WA,6038,-31.62699105,115.70265726,POST,08 9562 9800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,82,69,89,86,82,76,82,56,,,,,,,,,622
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.86702296,POST,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,95,46,51,50,49,59,85,85,,124,138,122,151,143,148,,1346
5006,ALLANSON PRIMARY SCHOOL,CAMERON STREET,ALLANSON,WA,6225,CAMERON STREET,ALLANSON,WA,6225,-33.33580893,116.099005,POST,08 9735 2800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,9,11,11,8,17,10,15,12,,,,,,,,,93
5007,ALLENDALE PRIMARY SCHOOL,52 WITTENOOM STREET,GERALDTON,WA,6530,52 WITTENOOM STREET,GERALDTON,WA,6530,-28.76430303,114.6237354,POST,08 9964 1888,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,47,56,45,46,52,47,51,,,,,,,,,386
1478,ALTA-1,4A/14 UPPILL PLACE,WANGARA,WA,6065,4A/14 UPPILL PLACE,WANGARA,WA,6065,-31.78537164,115.8133126,POST,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,,,,,,,,,,,288,,,580,42,,910
5008,AMAROO PRIMARY SCHOOL,79 JONES STREET,COLLIE,WA,6225,79 JONES STREET,COLLIE,WA,6225,-33.35205078,116.14966304,POST,08 9735 9400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,34,36,28,39,43,37,38,34,,,,,,,,,289
5841,ANNE HAMERSLEY PRIMARY SCHOOL,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,-31.74539641,116.00871729,POST,08 9297 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,79,85,50,73,63,85,57,47,,,,,,,,,539
5509,ANZAC TERRACE PRIMARY SCHOOL,176 ANZAC TERRACE,BASSENDEAN,WA,6054,176 ANZAC TERRACE,BASSENDEAN,WA,6054,-31.89719261,115.93725306,POST,08 9352 2600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,47,51,49,46,52,38,46,,,,,,,,,370
5010,APPLECROSS PRIMARY SCHOOL,65 KINTAIL ROAD,APPLECROSS,WA,6153,65 KINTAIL ROAD,APPLECROSS,WA,6153,-32.01084327,115.83959838,POST,08 9364 1792,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,70,78,93,81,76,63,56,,,,,,,,,577
4002,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,G50,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,283,312,265,263,292,237,,1652
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,POST,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,10,10,22,17,30,39,63,65,,160,186,180,185,178,176,,1321
1100,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,POST,08 9444 9355,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,85,101,107,119,124,123,60,719
1241,ARANMORE CATHOLIC PRIMARY SCHOOL,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,-31.92790363,115.83923406,POST,08 9444 9366,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,50,48,52,46,49,62,46,50,,,,,,,,,403
5792,ARBOR GROVE PRIMARY SCHOOL,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,-31.77105084,115.962637,C193,08 6497 4800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,79,96,95,79,100,91,96,97,,,,,,,,,733
5012,ARDROSS PRIMARY SCHOOL,46 LINKS ROAD,ARDROSS,WA,6153,46 LINKS ROAD,ARDROSS,WA,6153,-32.0274405,115.8346577,G40,08 9364 2771,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,37,41,59,46,56,53,67,,,,,,,,,399
6050,ARMADALE EDUCATION SUPPORT CENTRE,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.01435232,POST,08 9497 6435,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,,9,9,11,12,14,10,,65
5014,ARMADALE PRIMARY SCHOOL,1 CARRADINE ROAD,ARMADALE,WA,6112,1 CARRADINE ROAD,ARMADALE,WA,6112,-32.14823967,116.0264848,F200,08 9391 4500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,51,56,58,58,48,57,57,55,,,,,,,,,440
4003,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.01435232,POST,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,153,149,149,146,112,48,,757
5676,ASHBURTON DRIVE PRIMARY SCHOOL,6 NULLAGINE WAY,GOSNELLS,WA,6110,6 NULLAGINE WAY,GOSNELLS,WA,6110,-32.0862307,115.98419759,F305,08 9234 6300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,49,62,56,64,63,55,57,48,,,,,,,,,454
5786,ASHDALE PRIMARY SCHOOL,51 ASHDALE BOULEVARD,DARCH,WA,6065,51 ASHDALE BOULEVARD,DARCH,WA,6065,-31.80875751,115.8437538,B119,08 6207 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,85,104,96,107,117,111,124,109,,,,,,,,,853
4181,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.84149519,B121,08 9302 7100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,353,329,279,293,279,222,,1755
5015,ASHFIELD PRIMARY SCHOOL,65 MARGARET STREET,ASHFIELD,WA,6054,65 MARGARET STREET,ASHFIELD,WA,6054,-31.91530992,115.94090176,C340,08 6216 1300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,13,15,17,9,19,11,18,14,,,,,,,,,116
5854,ASPIRI PRIMARY SCHOOL,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,-32.139232,115.910977,UNKNOWN,08 9397 8300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,153,146,129,96,54,47,43,38,,,,,,,,,706
1287,ASSUMPTION CATHOLIC PRIMARY SCHOOL,22-34 GORDON ROAD,MANDURAH,WA,6210,22-34 GORDON ROAD,MANDURAH,WA,6210,-32.50994328,115.7464321,POST,08 9583 8500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,65,54,53,61,58,57,57,53,,,,,,,,,458
1519,ATLANTIS BEACH BAPTIST COLLEGE,BREAKWATER DRIVE,TWO ROCKS,WA,6037,BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,POST,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,13,10,9,10,16,16,23,13,,20,11,12,11,,,,164
5016,ATTADALE PRIMARY SCHOOL,WICHMANN ROAD,ATTADALE,WA,6156,WICHMANN ROAD,ATTADALE,WA,6156,-32.02544682,115.8018145,G70,08 6274 1700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,49,49,49,53,54,48,48,,,,,,,,,390
4184,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.86414624,H259,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,191,304,235,260,242,189,,1421
5765,ATWELL PRIMARY SCHOOL,160 LYDON BOULEVARD,ATWELL,WA,6164,160 LYDON BOULEVARD,ATWELL,WA,6164,-32.13527555,115.86782796,H257,08 6174 2400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,100,97,98,89,91,88,95,115,,,,,,,,,773
5820,AUBIN GROVE PRIMARY SCHOOL,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,-32.17306065,115.86235222,H258A,08 6174 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,105,145,115,145,141,150,132,135,,,,,,,,,1068
5017,AUGUSTA PRIMARY SCHOOL,32 ALLNUTT TERRACE,AUGUSTA,WA,6290,PO BOX 106,AUGUSTA,WA,6290,-34.31671839,115.1595029,POST,08 9781 5100,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,7,11,17,6,10,8,9,12,,,,,,,,,80
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,POST,08 9537 7177,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,40,32,45,42,41,51,51,37,,59,64,52,47,46,43,,650
